dataset_id,trial_id,record_id,country,adm1,adm2,adm3,location,site,longitude,latitude,elevation,planting_date,harvest_date,on_farm,is_survey,treatment,rep,crop,variety,yield_part,yield,irrigated,pathogen,AUDPC,rAUDPC
doi_10.21223_P3_TNNRYW,1,77,Peru,Junin,Concepcion,Mariscal Castilla,Comas,Viena,-75.1314,-11.5237,2415,2001-12-10,2002-04-02,TRUE,FALSE,none,1,potato,CIP387415.47,tubers,8333.33333333333,FALSE,Phytophthora infestans,28.05,0.8765625
doi_10.21223_P3_TNNRYW,1,78,Peru,Junin,Concepcion,Mariscal Castilla,Comas,Viena,-75.1314,-11.5237,2415,2001-12-10,2002-04-02,TRUE,FALSE,none,2,potato,CIP387415.47,tubers,6333.33333333333,FALSE,Phytophthora infestans,29,0.90625
doi_10.21223_P3_TNNRYW,1,79,Peru,Junin,Concepcion,Mariscal Castilla,Comas,Viena,-75.1314,-11.5237,2415,2001-12-10,2002-04-02,TRUE,FALSE,none,1,potato,CIP387415.6,tubers,5166.66666666667,FALSE,Phytophthora infestans,23.4,0.73125
doi_10.21223_P3_TNNRYW,1,80,Peru,Junin,Concepcion,Mariscal Castilla,Comas,Viena,-75.1314,-11.5237,2415,2001-12-10,2002-04-02,TRUE,FALSE,none,2,potato,CIP387415.6,tubers,3666.66666666667,FALSE,Phytophthora infestans,26.7,0.834375
doi_10.21223_P3_TNNRYW,1,81,Peru,Junin,Concepcion,Mariscal Castilla,Comas,Viena,-75.1314,-11.5237,2415,2001-12-10,2002-04-02,TRUE,FALSE,none,1,potato,CIP387415.7,tubers,6166.66666666667,FALSE,Phytophthora infestans,25.3,0.790625
doi_10.21223_P3_TNNRYW,1,82,Peru,Junin,Concepcion,Mariscal Castilla,Comas,Viena,-75.1314,-11.5237,2415,2001-12-10,2002-04-02,TRUE,FALSE,none,2,potato,CIP387415.7,tubers,4833.33333333333,FALSE,Phytophthora infestans,26.2,0.81875
doi_10.21223_P3_TNNRYW,1,83,Peru,Junin,Concepcion,Mariscal Castilla,Comas,Viena,-75.1314,-11.5237,2415,2001-12-10,2002-04-02,TRUE,FALSE,none,1,potato,CIP389746.2,tubers,43000,FALSE,Phytophthora infestans,6.5,0.203125
doi_10.21223_P3_TNNRYW,1,84,Peru,Junin,Concepcion,Mariscal Castilla,Comas,Viena,-75.1314,-11.5237,2415,2001-12-10,2002-04-02,TRUE,FALSE,none,2,potato,CIP389746.2,tubers,38833.3333333333,FALSE,Phytophthora infestans,8.025,0.25078125
doi_10.21223_P3_TNNRYW,1,85,Peru,Junin,Concepcion,Mariscal Castilla,Comas,Viena,-75.1314,-11.5237,2415,2001-12-10,2002-04-02,TRUE,FALSE,none,1,potato,CIP390357.4,tubers,8166.66666666667,FALSE,Phytophthora infestans,23.15,0.7234375
doi_10.21223_P3_TNNRYW,1,86,Peru,Junin,Concepcion,Mariscal Castilla,Comas,Viena,-75.1314,-11.5237,2415,2001-12-10,2002-04-02,TRUE,FALSE,none,2,potato,CIP390357.4,tubers,9333.33333333333,FALSE,Phytophthora infestans,24.05,0.7515625
doi_10.21223_P3_TNNRYW,1,87,Peru,Junin,Concepcion,Mariscal Castilla,Comas,Viena,-75.1314,-11.5237,2415,2001-12-10,2002-04-02,TRUE,FALSE,none,1,potato,CIP720064,tubers,4833.33333333333,FALSE,Phytophthora infestans,25.2,0.7875
doi_10.21223_P3_TNNRYW,1,88,Peru,Junin,Concepcion,Mariscal Castilla,Comas,Viena,-75.1314,-11.5237,2415,2001-12-10,2002-04-02,TRUE,FALSE,none,2,potato,CIP720064,tubers,7333.33333333333,FALSE,Phytophthora infestans,25.575,0.79921875
